"rank","gene","knockout_impact_score","module","description","gene_biotype","chromosome_name","start_position","end_position","go_bp_ids","go_bp_terms","n_go_bp","go_mf_ids","go_mf_terms","n_go_mf","was_uncharacterised","now_annotated"
78,"GCLM",0.885596053800427,"metabolism","glutamate-cysteine ligase modifier subunit","protein_coding","1",93885199,93909513,"GO:0006750; GO:0006979; GO:0009410; GO:0097746; GO:0006536; GO:0006534; GO:0006749; GO:0008637; GO:0051900; GO:1990830; GO:2001237; GO:0007584; GO:0014823; GO:0035729; GO:0035733; GO:0043524; GO:0044344; GO:0044752; GO:0051409; GO:0071333; GO:0071372; GO:0097069","glutathione biosynthetic process; response to oxidative stress; response to xenobiotic stimulus; blood vessel diameter maintenance; glutamate metabolic process; cysteine metabolic process; glutathione metabolic process; apoptotic mitochondrial changes; regulation of mitochondrial depolarization; cellular response to leukemia inhibitory factor; negative regulation of extrinsic apoptotic signaling pathway; response to nutrient; response to activity; cellular response to hepatocyte growth factor stimulus; hepatic stellate cell activation; negative regulation of neuron apoptotic process; cellular response to fibroblast growth factor stimulus; response to human chorionic gonadotropin; response to nitrosative stress; cellular response to glucose stimulus; cellular response to follicle-stimulating hormone stimulus; cellular response to thyroxine stimulus",22,"GO:0035226; GO:0005515; GO:0004357; GO:0044877; GO:1990609","glutamate-cysteine ligase catalytic subunit binding; protein binding; glutamate-cysteine ligase activity; protein-containing complex binding; glutamate-cysteine ligase regulator activity",5,FALSE,FALSE
79,"TPPP",0.87969995709004,"uncharacterised","tubulin polymerization promoting protein","protein_coding","5",659862,693997,"GO:0046785; GO:0051301; GO:0070507; GO:0001578; GO:0031643; GO:0014003; GO:0030953; GO:0031334; GO:0032273; GO:0048709; GO:0051418; GO:1904428","microtubule polymerization; cell division; regulation of microtubule cytoskeleton organization; microtubule bundle formation; positive regulation of myelination; oligodendrocyte development; astral microtubule organization; positive regulation of protein-containing complex assembly; positive regulation of protein polymerization; oligodendrocyte differentiation; microtubule nucleation by microtubule organizing center; negative regulation of tubulin deacetylation",12,"GO:0015631; GO:0016787; GO:0046872; GO:0005515; GO:0003924; GO:0042803; GO:0008017","tubulin binding; hydrolase activity; metal ion binding; protein binding; GTPase activity; protein homodimerization activity; microtubule binding",7,TRUE,TRUE
80,"KHNYN",0.864192914931952,"uncharacterised","KH and NYN domain containing","protein_coding","14",24423052,24441843,"GO:0008150","biological_process",1,"GO:0003723; GO:0005515; GO:0003729; GO:0004521; GO:0003674","RNA binding; protein binding; mRNA binding; RNA endonuclease activity; molecular_function",5,TRUE,TRUE
81,"PLA2G7",0.840677082572889,"immune","phospholipase A2 group VII","protein_coding","6",46704201,46735718,"GO:0006629; GO:0016042; GO:0009395; GO:0034638; GO:0050729; GO:0046469; GO:0034374; GO:0090026; GO:0016486; GO:0034440; GO:0034441","lipid metabolic process; lipid catabolic process; phospholipid catabolic process; phosphatidylcholine catabolic process; positive regulation of inflammatory response; platelet activating factor metabolic process; low-density lipoprotein particle remodeling; positive regulation of monocyte chemotaxis; peptide hormone processing; lipid oxidation; plasma lipoprotein particle oxidation",11,"GO:0003847; GO:0016787; GO:0005515; GO:0047499; GO:0005543; GO:0016788","1-alkyl-2-acetylglycerophosphocholine esterase activity; hydrolase activity; protein binding; calcium-independent phospholipase A2 activity; phospholipid binding; hydrolase activity, acting on ester bonds",6,FALSE,FALSE
82,"PCGF3",0.837014474614662,"epigenetic","polycomb group ring finger 3","protein_coding","4",705748,770089,"GO:0006357; GO:0060816","regulation of transcription by RNA polymerase II; random inactivation of X chromosome",2,"GO:0046872; GO:0005515; GO:0008270; GO:0140862","metal ion binding; protein binding; zinc ion binding; histone H2AK119 ubiquitin ligase activity",4,FALSE,FALSE
83,"LOC389765",0.832389527516067,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
84,"MERTK",0.830022372393176,"immune","MER proto-oncogene, tyrosine kinase","protein_coding","2",111898607,112029561,"GO:0006468; GO:0006909; GO:0016477; GO:0007399; GO:0007267; GO:0007166; GO:0050766; GO:0007169; GO:0046649; GO:0001779; GO:0001818; GO:0007283; GO:0030168; GO:0032940; GO:0034446; GO:0043277; GO:0051250; GO:0051649; GO:0051897; GO:0060041; GO:0060068; GO:0097350; GO:2000107","protein phosphorylation; phagocytosis; cell migration; nervous system development; cell-cell signaling; cell surface receptor signaling pathway; positive regulation of phagocytosis; cell surface receptor protein tyrosine kinase signaling pathway; lymphocyte activation; natural killer cell differentiation; negative regulation of cytokine production; spermatogenesis; platelet activation; secretion by cell; substrate adhesion-dependent cell spreading; apoptotic cell clearance; negative regulation of lymphocyte activation; establishment of localization in cell; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; retina development in camera-type eye; vagina development; neutrophil clearance; negative regulation of leukocyte apoptotic process",23,"GO:0005524; GO:0005515; GO:0004672; GO:0004713; GO:0016740; GO:0000166; GO:0016301; GO:0004714; GO:0046872","ATP binding; protein binding; protein kinase activity; protein tyrosine kinase activity; transferase activity; nucleotide binding; kinase activity; transmembrane receptor protein tyrosine kinase activity; metal ion binding",9,FALSE,FALSE
85,"ZNF253",0.823405688717138,"uncharacterised","zinc finger protein 253","protein_coding","19",19865881,19894674,"GO:0006355; GO:0006357; GO:0045892","regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; negative regulation of DNA-templated transcription",3,"GO:0046872; GO:0003677; GO:0008270; GO:0000978; GO:0000981","metal ion binding; DNA binding; zinc ion binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific",5,TRUE,TRUE
86,"TIGIT",0.813496541838356,"immune","T cell immunoreceptor with Ig and ITIM domains","protein_coding","3",114276913,114310288,"GO:0050868; GO:0045953","negative regulation of T cell activation; negative regulation of natural killer cell mediated cytotoxicity",2,"GO:0005102; GO:0005515; GO:0042802; GO:0038023","signaling receptor binding; protein binding; identical protein binding; signaling receptor activity",4,FALSE,FALSE
87,"ADAM28",0.762704565366775,"uncharacterised","ADAM metallopeptidase domain 28","protein_coding","8",24294016,24359014,"GO:0006508; GO:0007283","proteolysis; spermatogenesis",2,"GO:0008237; GO:0004222; GO:0016787; GO:0046872; GO:0005515; GO:0008233; GO:0034987","metallopeptidase activity; metalloendopeptidase activity; hydrolase activity; metal ion binding; protein binding; peptidase activity; immunoglobulin receptor binding",7,TRUE,TRUE
88,"HRH2",0.743030629823276,"uncharacterised","histamine receptor H2","protein_coding","5",175657797,175710756,"GO:0007186; GO:0001696; GO:0045907; GO:0007165; GO:0007268; GO:0006955; GO:0007187","G protein-coupled receptor signaling pathway; gastric acid secretion; positive regulation of vasoconstriction; signal transduction; chemical synaptic transmission; immune response; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",7,"GO:0004930; GO:0004969; GO:0030594","G protein-coupled receptor activity; histamine receptor activity; neurotransmitter receptor activity",3,TRUE,TRUE
89,"SPATA2L",0.737742309831846,"uncharacterised","spermatogenesis associated 2 like","protein_coding","16",89696357,89701705,NA,NA,NA,"GO:0005515","protein binding",1,TRUE,TRUE
90,"S1PR5",0.736626702353357,"immune","sphingosine-1-phosphate receptor 5","protein_coding","19",10512742,10517931,"GO:0007186; GO:0007165; GO:0003376; GO:0007189","G protein-coupled receptor signaling pathway; signal transduction; sphingosine-1-phosphate receptor signaling pathway; adenylate cyclase-activating G protein-coupled receptor signaling pathway",4,"GO:0004930; GO:0005515","G protein-coupled receptor activity; protein binding",2,FALSE,FALSE
91,"TGM3",0.734425664810791,"uncharacterised","transglutaminase 3","protein_coding","20",2296001,2341079,"GO:0031424; GO:0031069; GO:0036211; GO:0030216","keratinization; hair follicle morphogenesis; protein modification process; keratinocyte differentiation",4,"GO:0003810; GO:0016740; GO:0005509; GO:0046872; GO:0005515; GO:0003824; GO:0016746; GO:0005198","protein-glutamine gamma-glutamyltransferase activity; transferase activity; calcium ion binding; metal ion binding; protein binding; catalytic activity; acyltransferase activity; structural molecule activity",8,TRUE,TRUE
92,"TSIX",0.730738002526378,"uncharacterised","TSIX transcript, XIST antisense RNA","lncRNA","X",73792205,73829231,NA,NA,NA,NA,NA,NA,TRUE,FALSE
93,"TMEM184B",0.7226608279433,"uncharacterised","transmembrane protein 184B","protein_coding","22",38219290,38273805,"GO:0055085","transmembrane transport",1,"GO:0022857","transmembrane transporter activity",1,TRUE,TRUE
94,"F11R",0.653103379849513,"uncharacterised","F11 receptor","protein_coding","1",160995211,161023123,"GO:0007155; GO:0065008; GO:0030154; GO:0046718; GO:0003008; GO:0050900; GO:0072659; GO:0031032; GO:0006954; GO:0035633; GO:1901731; GO:0090557; GO:0008360; GO:0071260; GO:0098609; GO:0050892; GO:0007159; GO:0035683; GO:1902396; GO:0051493; GO:0051497; GO:2000810; GO:0030855; GO:0001817; GO:0090559; GO:0032956; GO:0035025; GO:1903142","cell adhesion; regulation of biological quality; cell differentiation; symbiont entry into host cell; system process; leukocyte migration; protein localization to plasma membrane; actomyosin structure organization; inflammatory response; maintenance of blood-brain barrier; positive regulation of platelet aggregation; establishment of endothelial intestinal barrier; regulation of cell shape; cellular response to mechanical stimulus; cell-cell adhesion; intestinal absorption; leukocyte cell-cell adhesion; memory T cell extravasation; protein localization to bicellular tight junction; regulation of cytoskeleton organization; negative regulation of stress fiber assembly; regulation of bicellular tight junction assembly; epithelial cell differentiation; regulation of cytokine production; regulation of membrane permeability; regulation of actin cytoskeleton organization; positive regulation of Rho protein signal transduction; positive regulation of establishment of endothelial barrier",28,"GO:0005515; GO:0001618; GO:0045296; GO:0042803; GO:0030165; GO:0005178","protein binding; virus receptor activity; cadherin binding; protein homodimerization activity; PDZ domain binding; integrin binding",6,TRUE,TRUE
95,"NR4A2",0.645187232171027,"apoptosis","nuclear receptor subfamily 4 group A member 2","protein_coding","2",156324432,156342348,"GO:0006355; GO:0030522; GO:0045944; GO:0006357; GO:0006351; GO:0045444; GO:0006366; GO:0051402; GO:0001666; GO:0001764; GO:0001975; GO:0007399; GO:0008344; GO:0009791; GO:0010467; GO:0010468; GO:0021952; GO:0021953; GO:0021986; GO:0034599; GO:0042053; GO:0042416; GO:0042417; GO:0043524; GO:0043576; GO:0045893; GO:0051866; GO:0071376; GO:0071542; GO:0060070; GO:1904948; GO:0000122; GO:2001234","regulation of DNA-templated transcription; intracellular receptor signaling pathway; positive regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; DNA-templated transcription; fat cell differentiation; transcription by RNA polymerase II; neuron apoptotic process; response to hypoxia; neuron migration; response to amphetamine; nervous system development; adult locomotory behavior; post-embryonic development; gene expression; regulation of gene expression; central nervous system projection neuron axonogenesis; central nervous system neuron differentiation; habenula development; cellular response to oxidative stress; regulation of dopamine metabolic process; dopamine biosynthetic process; dopamine metabolic process; negative regulation of neuron apoptotic process; regulation of respiratory gaseous exchange; positive regulation of DNA-templated transcription; general adaptation syndrome; cellular response to corticotropin-releasing hormone stimulus; dopaminergic neuron differentiation; canonical Wnt signaling pathway; midbrain dopaminergic neuron differentiation; negative regulation of transcription by RNA polymerase II; negative regulation of apoptotic signaling pathway",33,"GO:0003677; GO:0008270; GO:0003700; GO:0043565; GO:0004879; GO:0046872; GO:0005515; GO:0001228; GO:0000978; GO:0000981; GO:0046982; GO:1990837; GO:0000977; GO:0035259; GO:0008013; GO:0046965","DNA binding; zinc ion binding; DNA-binding transcription factor activity; sequence-specific DNA binding; nuclear receptor activity; metal ion binding; protein binding; DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; protein heterodimerization activity; sequence-specific double-stranded DNA binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; nuclear glucocorticoid receptor binding; beta-catenin binding; nuclear retinoid X receptor binding",16,FALSE,FALSE
96,"PANX2",0.638536167153396,"uncharacterised","pannexin 2","protein_coding","22",50170731,50180295,"GO:0006812; GO:0006811; GO:0034220; GO:0007267; GO:0002931; GO:0055085","monoatomic cation transport; monoatomic ion transport; monoatomic ion transmembrane transport; cell-cell signaling; response to ischemia; transmembrane transport",6,"GO:0015267; GO:0005198; GO:0022829; GO:0005243; GO:0044877","channel activity; structural molecule activity; wide pore channel activity; gap junction channel activity; protein-containing complex binding",5,TRUE,TRUE
97,"ACSL3",0.621043447169535,"metabolism","acyl-CoA synthetase long chain family member 3","protein_coding","2",222860942,222944639,"GO:0006629; GO:0006631; GO:0035338; GO:0030182; GO:0001676; GO:0044539; GO:0035336; GO:0034379; GO:0042998; GO:0051047; GO:2001247","lipid metabolic process; fatty acid metabolic process; long-chain fatty-acyl-CoA biosynthetic process; neuron differentiation; long-chain fatty acid metabolic process; long-chain fatty acid import into cell; long-chain fatty-acyl-CoA metabolic process; very-low-density lipoprotein particle assembly; positive regulation of Golgi to plasma membrane protein transport; positive regulation of secretion; positive regulation of phosphatidylcholine biosynthetic process",11,"GO:0000166; GO:0005524; GO:0005515; GO:0016874; GO:0019901; GO:0019904; GO:0004467; GO:0047676; GO:0090433; GO:0031956; GO:0120515","nucleotide binding; ATP binding; protein binding; ligase activity; protein kinase binding; protein domain specific binding; long-chain fatty acid-CoA ligase activity; arachidonate-CoA ligase activity; palmitoyl-CoA ligase activity; medium-chain fatty acid-CoA ligase activity; fatty acid-CoA ligase activity",11,FALSE,FALSE
98,"STAT5A",0.585342022248935,"signalling","signal transducer and activator of transcription 5A","protein_coding","17",42287547,42311943,"GO:0006355; GO:0007165; GO:0007595; GO:0006357; GO:0019221; GO:0035771; GO:1903706; GO:0006952; GO:0042127; GO:0045944; GO:0001938; GO:0007259; GO:0043536; GO:0038163; GO:0038156; GO:0060397; GO:0038110; GO:0030222; GO:0043434; GO:2000329; GO:0019530; GO:0040014; GO:0038111; GO:0035723; GO:0038113; GO:0000278; GO:0001779; GO:0006366; GO:0008283; GO:0030098; GO:0030183; GO:0030218; GO:0033024; GO:0033028; GO:0042098; GO:0050798; GO:0060374; GO:0070662; GO:0001553; GO:0007565; GO:0008284; GO:0010467; GO:0019218; GO:0019915; GO:0030155; GO:0030856; GO:0030879; GO:0033026; GO:0033033; GO:0033077; GO:0040018; GO:0042102; GO:0043029; GO:0045579; GO:0045621; GO:0045931; GO:0045954; GO:0046543; GO:0046544; GO:0048541; GO:0050729; GO:0060376; GO:0060740; GO:0060742; GO:0061180; GO:0070668; GO:0097011","regulation of DNA-templated transcription; signal transduction; lactation; regulation of transcription by RNA polymerase II; cytokine-mediated signaling pathway; interleukin-4-mediated signaling pathway; regulation of hemopoiesis; defense response; regulation of cell population proliferation; positive regulation of transcription by RNA polymerase II; positive regulation of endothelial cell proliferation; cell surface receptor signaling pathway via JAK-STAT; positive regulation of blood vessel endothelial cell migration; thrombopoietin-mediated signaling pathway; interleukin-3-mediated signaling pathway; growth hormone receptor signaling pathway via JAK-STAT; interleukin-2-mediated signaling pathway; eosinophil differentiation; response to peptide hormone; negative regulation of T-helper 17 cell lineage commitment; taurine metabolic process; regulation of multicellular organism growth; interleukin-7-mediated signaling pathway; interleukin-15-mediated signaling pathway; interleukin-9-mediated signaling pathway; mitotic cell cycle; natural killer cell differentiation; transcription by RNA polymerase II; cell population proliferation; lymphocyte differentiation; B cell differentiation; erythrocyte differentiation; mast cell apoptotic process; myeloid cell apoptotic process; T cell proliferation; activated T cell proliferation; mast cell differentiation; mast cell proliferation; luteinization; female pregnancy; positive regulation of cell population proliferation; gene expression; regulation of steroid metabolic process; lipid storage; regulation of cell adhesion; regulation of epithelial cell differentiation; mammary gland development; negative regulation of mast cell apoptotic process; negative regulation of myeloid cell apoptotic process; T cell differentiation in thymus; positive regulation of multicellular organism growth; positive regulation of T cell proliferation; T cell homeostasis; positive regulation of B cell differentiation; positive regulation of lymphocyte differentiation; positive regulation of mitotic cell cycle; positive regulation of natural killer cell mediated cytotoxicity; development of secondary female sexual characteristics; development of secondary male sexual characteristics; Peyer's patch development; positive regulation of inflammatory response; positive regulation of mast cell differentiation; prostate gland epithelium morphogenesis; epithelial cell differentiation involved in prostate gland development; mammary gland epithelium development; positive regulation of mast cell proliferation; cellular response to granulocyte macrophage colony-stimulating factor stimulus",67,"GO:0003677; GO:0003700; GO:0005515; GO:0000978; GO:0000981; GO:0140297; GO:0001228; GO:0043565; GO:1990841","DNA binding; DNA-binding transcription factor activity; protein binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor binding; DNA-binding transcription activator activity, RNA polymerase II-specific; sequence-specific DNA binding; promoter-specific chromatin binding",9,FALSE,FALSE
99,"AUTS2",0.583132227764939,"epigenetic","activator of transcription and developmental regulator AUTS2","protein_coding","7",69598296,70793506,"GO:0030036; GO:0001764; GO:0045944; GO:0048675; GO:0035022; GO:0097484","actin cytoskeleton organization; neuron migration; positive regulation of transcription by RNA polymerase II; axon extension; positive regulation of Rac protein signal transduction; dendrite extension",6,"GO:0005515; GO:0003682","protein binding; chromatin binding",2,FALSE,FALSE
100,"LOC100131043",0.58114928818569,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
101,"SOCS3",0.577665821864597,"signalling","suppressor of cytokine signaling 3","protein_coding","17",78356778,78360930,"GO:0035556; GO:0016567; GO:0009968; GO:0019221; GO:0007259; GO:0043066; GO:0046426; GO:0007165; GO:0030154; GO:0045597; GO:0046627; GO:0050728; GO:0060670; GO:0060674; GO:0072540; GO:1990830; GO:0097398","intracellular signal transduction; protein ubiquitination; negative regulation of signal transduction; cytokine-mediated signaling pathway; cell surface receptor signaling pathway via JAK-STAT; negative regulation of apoptotic process; negative regulation of receptor signaling pathway via JAK-STAT; signal transduction; cell differentiation; positive regulation of cell differentiation; negative regulation of insulin receptor signaling pathway; negative regulation of inflammatory response; branching involved in labyrinthine layer morphogenesis; placenta blood vessel development; T-helper 17 cell lineage commitment; cellular response to leukemia inhibitory factor; cellular response to interleukin-17",17,"GO:0005515; GO:0005126; GO:0001784; GO:0004860; GO:0030292; GO:0035198","protein binding; cytokine receptor binding; phosphotyrosine residue binding; protein kinase inhibitor activity; protein tyrosine kinase inhibitor activity; miRNA binding",6,FALSE,FALSE
102,"TRPV2",0.57155190279827,"immune","transient receptor potential cation channel subfamily V member 2","protein_coding","17",16415571,16437003,"GO:0006811; GO:0055085; GO:0034220; GO:0006816; GO:0070588; GO:0007600; GO:0009266; GO:0045773; GO:0090280","monoatomic ion transport; transmembrane transport; monoatomic ion transmembrane transport; calcium ion transport; calcium ion transmembrane transport; sensory perception; response to temperature stimulus; positive regulation of axon extension; positive regulation of calcium ion import",9,"GO:0005515; GO:0005216; GO:0005262; GO:0005261; GO:0015075","protein binding; monoatomic ion channel activity; calcium channel activity; monoatomic cation channel activity; monoatomic ion transmembrane transporter activity",5,FALSE,FALSE
103,"DHRSX",0.551927774487328,"uncharacterised","dehydrogenase/reductase X-linked","protein_coding","Y",2219506,2502805,"GO:0010508; GO:0019408","positive regulation of autophagy; dolichol biosynthetic process",2,"GO:0016491; GO:0005515; GO:0160196; GO:0160197","oxidoreductase activity; protein binding; polyprenol dehydrogenase activity; dolichal reductase activity",4,TRUE,TRUE
104,"PDSS1",0.546610469562014,"uncharacterised","decaprenyl diphosphate synthase subunit 1","protein_coding","10",26697669,26746798,"GO:0008299; GO:0006629; GO:0006744; GO:1901663","isoprenoid biosynthetic process; lipid metabolic process; ubiquinone biosynthetic process; quinone biosynthetic process",4,"GO:0004659; GO:0016740; GO:0046872; GO:0005515; GO:0052923; GO:0097269; GO:0046982","prenyltransferase activity; transferase activity; metal ion binding; protein binding; all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity; all-trans-decaprenyl-diphosphate synthase activity; protein heterodimerization activity",7,TRUE,TRUE
105,"PARP16",0.532394652980396,"uncharacterised","poly(ADP-ribose) polymerase family member 16","protein_coding","15",65234460,65300618,"GO:0006986; GO:0030968; GO:0002181; GO:0019082; GO:0034355; GO:2000766; GO:1990830","response to unfolded protein; endoplasmic reticulum unfolded protein response; cytoplasmic translation; viral protein processing; NAD salvage; negative regulation of cytoplasmic translation; cellular response to leukemia inhibitory factor",7,"GO:0003950; GO:0016740; GO:0005515; GO:0016757; GO:0016779; GO:0019900; GO:0043539; GO:0140806; GO:0140807; GO:1990404; GO:0140804","NAD+-protein poly-ADP-ribosyltransferase activity; transferase activity; protein binding; glycosyltransferase activity; nucleotidyltransferase activity; kinase binding; protein serine/threonine kinase activator activity; NAD+-protein-aspartate ADP-ribosyltransferase activity; NAD+-protein-glutamate ADP-ribosyltransferase activity; NAD+-protein ADP-ribosyltransferase activity; NAD+-protein-lysine ADP-ribosyltransferase activity",11,TRUE,TRUE
106,"KALRN",0.531777070291805,"uncharacterised","kalirin RhoGEF kinase","protein_coding","3",124033369,124726325,"GO:0006468; GO:0051056; GO:0035556; GO:0007165; GO:0007411; GO:0007399; GO:0016192; GO:0048013","protein phosphorylation; regulation of small GTPase mediated signal transduction; intracellular signal transduction; signal transduction; axon guidance; nervous system development; vesicle-mediated transport; ephrin receptor signaling pathway",8,"GO:0005524; GO:0005515; GO:0005085; GO:0004672; GO:0016740; GO:0046872; GO:0000166; GO:0004674; GO:0016301","ATP binding; protein binding; guanyl-nucleotide exchange factor activity; protein kinase activity; transferase activity; metal ion binding; nucleotide binding; protein serine/threonine kinase activity; kinase activity",9,TRUE,TRUE
107,"COL9A2",0.529202038665648,"uncharacterised","collagen type IX alpha 2 chain","protein_coding","1",40300487,40317813,"GO:0001501","skeletal system development",1,"GO:0005515; GO:0030020; GO:0042803","protein binding; extracellular matrix structural constituent conferring tensile strength; protein homodimerization activity",3,TRUE,TRUE
108,"TNFRSF10D",0.528398850358051,"immune","TNF receptor superfamily member 10d","protein_coding","8",23135588,23164027,"GO:0006915; GO:0007165; GO:0043066","apoptotic process; signal transduction; negative regulation of apoptotic process",3,"GO:0005515; GO:0004888","protein binding; transmembrane signaling receptor activity",2,FALSE,FALSE
109,"SH3PXD2B",0.527158377580982,"uncharacterised","SH3 and PX domains 2B","protein_coding","5",172325000,172454531,"GO:0072593; GO:0030154; GO:0007507; GO:0072657; GO:0022617; GO:0001501; GO:0001654; GO:0006801; GO:0060348; GO:0060612; GO:0071800","reactive oxygen species metabolic process; cell differentiation; heart development; protein localization to membrane; extracellular matrix disassembly; skeletal system development; eye development; superoxide metabolic process; bone development; adipose tissue development; podosome assembly",11,"GO:0005515; GO:0035091; GO:0080025","protein binding; phosphatidylinositol binding; phosphatidylinositol-3,5-bisphosphate binding",3,TRUE,TRUE
110,"ITPKB-IT1",0.523367846604744,"uncharacterised","ITPKB intronic transcript 1","lncRNA","1",226656079,226675111,NA,NA,NA,NA,NA,NA,TRUE,FALSE
111,"KIR3DL1",0.517292522863108,"immune","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1","protein_coding","HSCHR19KIR_502960008-1_CTG3_1",118067,132378,"GO:0006955; GO:0002764; GO:0007154","immune response; immune response-regulating signaling pathway; cell communication",3,"GO:0005515; GO:0060090; GO:0030109","protein binding; molecular adaptor activity; HLA-B specific inhibitory MHC class I receptor activity",3,FALSE,FALSE
112,"RPRD1A",0.515089238005672,"uncharacterised","regulation of nuclear pre-mRNA domain containing 1A","protein_coding","18",35984387,36067576,"GO:0006357; GO:0031124; GO:0001111","regulation of transcription by RNA polymerase II; mRNA 3'-end processing; RNA polymerase II promoter clearance",3,"GO:0000993; GO:0008420; GO:0005515; GO:0042802; GO:0099122","RNA polymerase II complex binding; RNA polymerase II CTD heptapeptide repeat phosphatase activity; protein binding; identical protein binding; RNA polymerase II C-terminal domain binding",5,TRUE,TRUE
113,"PHF13",0.490339348202999,"epigenetic","PHD finger protein 13","protein_coding","1",6613731,6624030,"GO:0051301; GO:0006974; GO:0006325; GO:0007059; GO:0030261; GO:0000278; GO:0007076","cell division; DNA damage response; chromatin organization; chromosome segregation; chromosome condensation; mitotic cell cycle; mitotic chromosome condensation",7,"GO:0046872; GO:0008270; GO:0005515; GO:0003682; GO:0140463","metal ion binding; zinc ion binding; protein binding; chromatin binding; chromatin-protein adaptor activity",5,FALSE,FALSE
114,"SNAP23",0.454122562633472,"uncharacterised","synaptosome associated protein 23","protein_coding","15",42491233,42545356,"GO:0006887; GO:0015031; GO:0006892; GO:0006903; GO:0031629; GO:0061025","exocytosis; protein transport; post-Golgi vesicle-mediated transport; vesicle targeting; synaptic vesicle fusion to presynaptic active zone membrane; membrane fusion",6,"GO:0005515; GO:0019905; GO:0005484","protein binding; syntaxin binding; SNAP receptor activity",3,TRUE,TRUE
115,"PLEKHG3",0.441836503796738,"uncharacterised","pleckstrin homology and RhoGEF domain containing G3","protein_coding","14",64704102,64750249,"GO:0030334; GO:2000114; GO:0051056","regulation of cell migration; regulation of establishment of cell polarity; regulation of small GTPase mediated signal transduction",3,"GO:0005085; GO:0003779; GO:0031267","guanyl-nucleotide exchange factor activity; actin binding; small GTPase binding",3,TRUE,TRUE
116,"NDST1",0.428785900916424,"uncharacterised","N-deacetylase and N-sulfotransferase 1","protein_coding","5",150485648,150558211,"GO:0006954; GO:0015012; GO:0030210; GO:0000271; GO:0003279; GO:0007507; GO:0007585; GO:0008283; GO:0008543; GO:0009887; GO:0030203; GO:0030900; GO:0030901; GO:0035904; GO:0043410; GO:0045880; GO:0048702; GO:0048703; GO:0060976","inflammatory response; heparan sulfate proteoglycan biosynthetic process; heparin biosynthetic process; polysaccharide biosynthetic process; cardiac septum development; heart development; respiratory gaseous exchange by respiratory system; cell population proliferation; fibroblast growth factor receptor signaling pathway; animal organ morphogenesis; glycosaminoglycan metabolic process; forebrain development; midbrain development; aorta development; positive regulation of MAPK cascade; positive regulation of smoothened signaling pathway; embryonic neurocranium morphogenesis; embryonic viscerocranium morphogenesis; coronary vasculature development",19,"GO:0016740; GO:0016787; GO:0008146; GO:0015016; GO:0003824; GO:0005515; GO:0019213; GO:0050119","transferase activity; hydrolase activity; sulfotransferase activity; [heparan sulfate]-glucosamine N-sulfotransferase activity; catalytic activity; protein binding; deacetylase activity; N-acetylglucosamine deacetylase activity",8,TRUE,TRUE
117,"FCRL1",0.418402929771688,"immune","Fc receptor like 1","protein_coding","1",157792249,157820183,"GO:0007166; GO:0006955; GO:0042113","cell surface receptor signaling pathway; immune response; B cell activation",3,"GO:0004888; GO:0015026","transmembrane signaling receptor activity; coreceptor activity",2,FALSE,FALSE
118,"OVGP1",0.409056561382401,"uncharacterised","oviductal glycoprotein 1","protein_coding","1",111414319,111427735,"GO:0005975; GO:0007338; GO:0007565; GO:0006032; GO:2000360","carbohydrate metabolic process; single fertilization; female pregnancy; chitin catabolic process; negative regulation of binding of sperm to zona pellucida",5,"GO:0008061; GO:0004568","chitin binding; chitinase activity",2,TRUE,TRUE
